Name,Age,Salary,Gender,Department,Position,"Joining Date","Performance Score",Email,"Phone Number"
Frank,35,65000,Male,Finance,Assistant,2018-04-05,D,name@company.org,123-456-7890
Charlie,35,55000,Famale,Sales,Analyst,2019-03-25,F,email@example.com,123-456-7890
Ivy,50,65000,Male,Finance,Manager,2020-01-15,D,user@domain.com,555-555-5555
David,30,70000,Famale,HR,Analyst,2020-01-15,A,NULL,123-456-7890
Alice,50,70000,Male,HR,Director,2019-03-25,A,NULL,555-555-5555
David,50,70000,Famale,HR,Analyst,2020-02-20,A,email@example.com,555-555-5555
Alice,40,50000,NULL,Finance,Assistant,2018-04-05,D,name@company.org,123-456-7890
Eve,25,55000,Male,Sales,Manager,2018-04-05,B,NULL,NULL
David,30,NULL,Famale,HR,Assistant,2019-03-25,F,NULL,555-555-5555
Hannah,NULL,NULL,NULL,Sales,Manager,2020-02-20,D,,123-456-7890
Hannah,NULL,50000,Male,Finance,Director,2020-01-15,B,user@domain.com,NULL
Grace,35,65000,Male,Sales,Manager,2019-12-01,B,name@company.org,555-555-5555
Charlie,35,50000,Male,Finance,Manager,2019-12-01,D,user@domain.com,NULL
Alice,NULL,65000,Famale,Finance,Manager,2019-03-25,D,name@company.org,NULL
Alice,35,65000,Famale,Marketing,Analyst,2020-02-20,B,NULL,NULL
Charlie,25,60000,NULL,Finance,Analyst,2020-02-20,B,,NULL
Frank,50,NULL,Famale,Finance,Director,2018-04-05,B,user@domain.com,555-555-5555
Grace,35,70000,Famale,IT,Manager,2020-01-15,D,NULL,123-456-7890
Frank,40,65000,Male,HR,Clerk,2020-02-20,B,name@company.org,098-765-4321
Frank,35,60000,Male,Marketing,Director,2019-12-01,A,user@domain.com,123-456-7890
Frank,30,NULL,Male,Marketing,Manager,2020-01-15,D,user@domain.com,098-765-4321
Charlie,25,70000,Male,Marketing,Manager,2020-01-15,A,NULL,098-765-4321
Frank,30,65000,Male,IT,Analyst,2019-03-25,C,user@domain.com,555-555-5555
Hannah,30,65000,Male,Finance,Director,2020-02-20,D,,NULL
Bob,40,50000,Male,HR,Manager,2019-03-25,C,,123-456-7890
Eve,25,50000,NULL,Sales,Manager,2020-02-20,B,NULL,NULL
Alice,25,NULL,NULL,Finance,Director,2018-04-05,B,name@company.org,NULL
Alice,25,70000,NULL,IT,Clerk,2019-03-25,F,NULL,555-555-5555
Eve,25,65000,NULL,Finance,Director,2019-03-25,B,,555-555-5555
Charlie,25,NULL,Male,Finance,Director,2019-12-01,C,email@example.com,NULL
David,40,NULL,NULL,IT,Clerk,2019-03-25,B,email@example.com,123-456-7890
Charlie,35,55000,Male,Marketing,Director,2020-02-20,D,user@domain.com,NULL
Alice,30,50000,NULL,Marketing,Manager,2019-12-01,B,user@domain.com,123-456-7890
Alice,25,70000,Famale,HR,Director,2019-03-25,F,email@example.com,098-765-4321
Eve,35,65000,NULL,HR,Clerk,2019-03-25,B,,555-555-5555
Frank,35,NULL,NULL,Marketing,Assistant,2018-04-05,C,user@domain.com,123-456-7890
Charlie,30,65000,Male,Sales,Director,2019-03-25,C,NULL,NULL
Ivy,40,55000,NULL,Finance,Analyst,2020-01-15,B,NULL,NULL
Eve,NULL,70000,Famale,Sales,Manager,2019-12-01,C,,555-555-5555
Hannah,NULL,NULL,Male,Finance,Manager,2020-01-15,C,user@domain.com,NULL
Alice,35,65000,Male,Marketing,Analyst,2019-12-01,F,NULL,NULL
Eve,50,50000,NULL,HR,Analyst,2018-04-05,D,user@domain.com,123-456-7890
Charlie,50,55000,Male,HR,Director,2019-03-25,F,user@domain.com,NULL
Alice,30,70000,Male,Sales,Analyst,2019-03-25,A,NULL,555-555-5555
David,NULL,55000,Male,HR,Assistant,2019-03-25,F,email@example.com,123-456-7890
Eve,35,50000,Male,Marketing,Clerk,2019-12-01,B,NULL,098-765-4321
Grace,40,70000,Male,Sales,Analyst,2019-03-25,D,,NULL
Alice,NULL,55000,Male,Finance,Analyst,2020-01-15,B,name@company.org,NULL
Charlie,35,60000,Famale,HR,Assistant,2019-03-25,A,NULL,123-456-7890
Bob,35,50000,NULL,IT,Manager,2018-04-05,D,user@domain.com,NULL
Ivy,25,50000,Famale,HR,Manager,2020-01-15,C,user@domain.com,NULL
Jack,40,50000,Male,Finance,Director,2019-03-25,F,NULL,555-555-5555
Frank,25,60000,Male,Sales,Assistant,2019-03-25,B,name@company.org,NULL
Jack,30,60000,NULL,Finance,Clerk,2020-02-20,A,NULL,098-765-4321
Charlie,25,65000,Famale,IT,Clerk,2019-12-01,C,name@company.org,NULL
Hannah,25,NULL,NULL,Marketing,Assistant,2020-01-15,F,name@company.org,NULL
Hannah,NULL,55000,Famale,HR,Clerk,2020-02-20,C,,NULL
Bob,50,65000,Male,Sales,Manager,2018-04-05,F,user@domain.com,123-456-7890
Frank,35,55000,NULL,Marketing,Clerk,2019-12-01,D,user@domain.com,NULL
Grace,40,NULL,NULL,Finance,Clerk,2020-01-15,C,name@company.org,NULL
Bob,25,60000,Male,Sales,Assistant,2019-03-25,C,user@domain.com,123-456-7890
Jack,40,NULL,NULL,Marketing,Assistant,2020-01-15,C,email@example.com,555-555-5555
Bob,50,60000,Famale,Sales,Clerk,2019-03-25,D,name@company.org,123-456-7890
Jack,50,NULL,Famale,IT,Analyst,2019-12-01,A,user@domain.com,098-765-4321
Alice,25,65000,Famale,IT,Assistant,2019-03-25,F,email@example.com,123-456-7890
Hannah,30,70000,Famale,HR,Director,2018-04-05,C,,555-555-5555
Alice,25,65000,Male,HR,Director,2019-03-25,D,user@domain.com,NULL
Ivy,NULL,55000,NULL,IT,Manager,2018-04-05,A,email@example.com,123-456-7890
Frank,35,65000,Famale,Sales,Clerk,2019-12-01,F,NULL,123-456-7890
Grace,30,50000,Male,IT,Analyst,2019-12-01,D,NULL,123-456-7890
Jack,25,55000,NULL,HR,Manager,2020-01-15,F,email@example.com,123-456-7890
Grace,40,NULL,NULL,IT,Clerk,2018-04-05,C,name@company.org,555-555-5555
Jack,30,55000,Male,IT,Assistant,2018-04-05,A,name@company.org,NULL
Charlie,30,70000,Male,Sales,Director,2020-02-20,D,user@domain.com,NULL
Bob,25,60000,Famale,Marketing,Analyst,2020-02-20,A,NULL,123-456-7890
Ivy,30,NULL,NULL,HR,Director,2020-02-20,C,name@company.org,555-555-5555
